met_names,R2,slope_Lnpval,ciL_slope_Lnpval,ciU_slope_Lnpval,intercept_Lnpval,ciL_intercept_Lnpval,ciU_intercept_Lnpval,pv-b,pvalb_beta,pvMaxSize,pvMaxSize_corrected
M106,0.9033855643116889,-0.1993494151142623,-0.24528419660741646,-0.15341463362110813,-0.9346065334023544,-0.953569124840136,-0.9156439419645729,1.0802961978269438e-06,0.9953402796811114,0.27833181432174725,0.6706352662895824
M107,0.9945584092011428,0.6485496966831604,0.6147484043364432,0.6823509890298777,-1.0238669236941083,-1.0378206223077684,-1.0099132250804481,0.9999999999994116,0.9999749513269957,0.6807962836201398,0.8395538785028658
M108,0.997893147300083,-2.4626221350136,-2.5423509109790223,-2.3828933590481776,-0.8213336951250931,-0.8542469725005835,-0.7884204177496028,5.112379103654741e-15,4.155257830876903e-05,0.03646483606203696,0.3365400286931931
M109,0.9989172408765792,-3.3214290086845564,-3.3984782554325506,-3.244379761936562,-0.7144254435076562,-0.7462325695933388,-0.6826183174219737,1.83200169696771e-16,9.333132725968694e-05,0.017496743805768118,0.21632337796222398
M110,0.6682130918478031,0.24438484589423448,0.12304913018360734,0.3657205616048616,-1.1806873304945693,-1.230776598997443,-1.1305980619916955,0.9994175111651814,0.19588433605615793,0.4029687174014006,0.7187351108299909
M111,0.44752676769532196,-0.09391094724107107,-0.16743079257950338,-0.020391101902638764,-0.9448068657545547,-0.9751570001060015,-0.914456731403108,0.008682543791501402,0.9997582630336594,0.27212742455161576,0.6706352662895824
M112,0.9674115170034355,-0.46823280978742865,-0.5287850951764358,-0.4076805243984215,-0.9098982027958038,-0.934895126937629,-0.8849012786539786,4.585361245777161e-09,0.8198191714403387,0.21587191976529105,0.6706352662895824
M114,0.7578334773985071,-0.1796141458651066,-0.25115480685845276,-0.10807348487176043,-0.9327002727397311,-0.9622333690451492,-0.903167176434313,0.00011478180625855175,0.9365671785103705,0.28188961811532903,0.6706352662895824
M115,0.9550239785284426,0.3790028003775764,0.3210508508720553,0.43695474988309746,-1.0557141476016532,-1.0796376126922604,-1.0317906825110459,0.9999999769177628,0.9999835954102145,0.41221572532896533,0.7187351108299909
M116,0.9895703154628698,-1.1968471532059264,-1.2834222925820147,-1.110272013829838,-0.834647826978199,-0.8703873895339155,-0.7989082644224824,1.525184464580947e-11,0.007789967725463753,0.11570569437041874,0.6294389773750779
M117,0.9928307347569155,-1.5182206949575696,-1.6091234144896445,-1.4273179754254948,-0.8249475843555106,-0.8624736392323991,-0.7874215294786222,2.337465507489926e-12,8.270143022393e-06,0.08784374783641315,0.5973374852876093
M118,0.9990694375788562,-7.91972993924617,-8.090034995603228,-7.749424882889113,-0.8386304221459605,-0.9089349952496449,-0.7683258490422761,8.589474600299941e-17,1.889736610154742e-05,0.00020816970883745314,0.009437026800631208
M119,0.22470209535035557,0.08870782593984161,-0.0273928988950463,0.20480855077472954,-1.1167275372614298,-1.1646557202005907,-1.068799354322269,0.9402489496750381,8.848310967042229e-05,0.40932028777392804,0.7187351108299909
M120,0.012870807418028374,0.059849403750929286,-0.30945644127120786,0.42915524877306643,-1.431313123917601,-1.583768314235272,-1.2788579335999297,0.6372281241610529,5.259618513317945e-07,0.5631411046668031,0.7943868407202881
M122,0.9617036934105174,0.37054605955072284,0.3184455159721647,0.422646603129281,-0.985062100884215,-1.0065700147014118,-0.9635541870670181,0.9999999896984396,0.9999549421908688,0.473038588751711,0.7537264094362467
